Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Seating_Capacity,Type,Power.1,Torque.1
Jaguar,Xf,2.0 Prestige,"₹ 5,436,329.000000000000000",1999,4,74,Petrol,1460,4961,2091,Sedan,5,Automatic,247,340
Skoda,Kodiaq,Corporate Edition,"₹ 3,299,599.000000000000000",1968,4,66,Diesel,1483,4861,1864,SUV,5,Automatic,177,350
Jaguar,Xf,2.0 Portfolio Diesel,"₹ 6,138,811.000000000000000",1999,4,83,Diesel,1457,5252,1899,Sedan,5,Automatic,180,430
Jaguar,Xf,2.0 Prestige Diesel,"₹ 5,506,622.000000000000000",1999,4,66,Diesel,1457,5067,2091,Sedan,5,Automatic,180,430
Jaguar,Xf,2.0 Portfolio,"₹ 6,073,446.000000000000000",1999,4,82,Petrol,1457,5252,1899,Sedan,5,Automatic,247,340
Bmw,X3,Xdrive 30I Luxury Line,"₹ 5,880,000.000000000000000",1998,4,67,Petrol,1678,4657,1881,SUV,5,Automatic,248,350
Jaguar,Xf,2.0 Pure Diesel,"₹ 4,977,080.000000000000000",1999,4,66,Diesel,1457,5067,2091,Sedan,5,Automatic,180,430
Bmw,X3,Xdrive 20D Luxury Line,"₹ 5,930,000.000000000000000",1995,4,67,Diesel,1678,4657,1881,SUV,5,Automatic,190,400
Bmw,X3,Xdrive20D Xline,"₹ 5,600,000.000000000000000",1995,4,67,Diesel,1678,4657,1881,SUV,5,Automatic,190,400
Maruti Suzuki,Swift,Lxi,"₹ 519,000.000000000000000",1197,4,37,Petrol,1530,3840,1735,Hatchback,5,Manual,83,113
Tata,Zest,Xe Petrol,"₹ 582,287.000000000000000",1193,4,44,Petrol,1570,3995,1706,Sedan,5,Manual,90,140
Tata,Zest,Xm Petrol,"₹ 653,926.000000000000000",1193,4,44,Petrol,1570,3995,1706,Sedan,5,Manual,90,140
Tata,Zest,Xms Petrol,"₹ 672,641.000000000000000",1193,4,44,Petrol,1570,3995,1706,Sedan,5,Manual,90,140
Fiat,Linea,Active Multijet,"₹ 862,175.000000000000000",1248,4,45,Diesel,1494,4596,1730,Sedan,5,Manual,93,209
Fiat,Linea,Active Fire,"₹ 715,860.000000000000000",1368,4,45,Petrol,1487,4596,1730,Sedan,5,Manual,114,207
Tata,Zest,Xt Petrol,"₹ 732,475.000000000000000",1193,4,44,Petrol,1570,3995,1706,Sedan,5,Manual,90,140
Maruti Suzuki,Vitara Brezza,Ldi,"₹ 762,742.000000000000000",1248,4,48,Diesel,1640,3995,1790,SUV,5,Manual,90,200
Fiat,Linea,Dynamic Multijet,"₹ 932,025.000000000000000",1248,4,45,Diesel,1494,4596,1730,Sedan,5,Manual,93,209
Fiat,Linea,T-Jet Emotion,"₹ 997,763.000000000000000",1368,4,45,Petrol,1487,4596,1730,Sedan,5,Manual,114,207
Fiat,Linea,Emotion Multijet,"₹ 991,434.000000000000000",1248,4,45,Diesel,1494,4596,1730,Sedan,5,Manual,93,209
Maruti Suzuki,Vitara Brezza,Zdi+,"₹ 987,743.000000000000000",1248,4,48,Diesel,1640,3995,1790,SUV,5,Manual,90,200
Maruti Suzuki,Vitara Brezza,Vdi,"₹ 814,742.000000000000000",1248,4,48,Diesel,1640,3995,1790,SUV,5,Manual,90,200
Maruti Suzuki,Vitara Brezza,Zdi+ Dual Tone,"₹ 1,003,552.000000000000000",1248,4,48,Diesel,1640,3995,1790,SUV,5,Manual,90,200
Maruti Suzuki,Vitara Brezza,Zdi,"₹ 892,243.000000000000000",1248,4,48,Diesel,1640,3995,1790,SUV,5,Manual,90,200
Maruti Suzuki,Vitara Brezza,Zdi Ags,"₹ 942,243.000000000000000",1248,4,48,Diesel,1640,3995,1790,SUV,5,Automatic,90,200
Maruti Suzuki,Vitara Brezza,Vdi Ags,"₹ 864,742.000000000000000",1248,4,48,Diesel,1640,3995,1790,SUV,5,Automatic,90,200
Maruti Suzuki,Vitara Brezza,Zdi+ Ags,"₹ 1,037,742.000000000000000",1248,4,48,Diesel,1640,3995,1790,SUV,5,Manual,90,200
Maruti Suzuki,Vitara Brezza,Zdi+ Dual Tone Ags,"₹ 1,059,742.000000000000000",1248,4,48,Diesel,1640,3995,1790,SUV,5,Automatic,90,200
Hyundai,I20 Active,1.2 Sx,"₹ 858,536.000000000000000",1197,4,40,Petrol,1555,3995,1760,Hatchback,5,Manual,83,114
Renault,Duster,Rxe Petrol,"₹ 799,990.000000000000000",1498,4,50,Petrol,1695,4315,1822,SUV,5,Manual,106,142
Renault,Duster,Rxs Petrol,"₹ 919,990.000000000000000",1498,4,50,Petrol,1695,4315,1822,SUV,5,Manual,106,142
Hyundai,I20 Active,1.2 Sx Dual Tone,"₹ 882,298.000000000000000",1197,4,40,Petrol,1555,3995,1760,Hatchback,5,Manual,83,114
Renault,Duster,Rxs (Opt) Cvt,"₹ 999,990.000000000000000",1498,4,50,Petrol,1695,4315,1822,SUV,5,CVT,106,142
Renault,Duster,85 Ps Rxe Mt Diesel,"₹ 929,990.000000000000000",1461,4,50,Diesel,1695,4315,1822,SUV,5,Manual,85,200
Renault,Duster,85 Ps Rxs Mt Diesel,"₹ 999,990.000000000000000",1461,4,50,Diesel,1695,4315,1822,SUV,5,Manual,85,200
Renault,Duster,110 Ps Rxs Mt Diesel,"₹ 1,119,990.000000000000000",1461,4,50,Diesel,1695,4315,1822,SUV,5,Automatic,110,245
Force,Gurkha,Xplorer 3 Door,"₹ 1,075,000.000000000000000",2596,4,63,Diesel,2055,3992,1790,SUV,5,Manual,85,230
Renault,Duster,110 Ps Rxz Amt Diesel,"₹ 1,249,990.000000000000000",1461,4,50,Diesel,1695,4315,1822,SUV,5,Automatic,110,245
Renault,Duster,110 Ps Rxs Awd (Opt) Diesel,"₹ 1,249,990.000000000000000",1461,4,50,Diesel,1695,4315,1822,SUV,5,Automatic,110,245
Renault,Duster,110 Ps Rxz Mt Diesel,"₹ 1,209,990.000000000000000",1461,4,50,Diesel,1695,4315,1822,SUV,5,Automatic,110,245
Skoda,Monte Carlo,Monte Carlo 1.5 Tdi At,"₹ 1,425,599.000000000000000",1498,4,55,Diesel,1466,4413,1699,Sedan,5,Automatic,110,250
Force,Gurkha,Xplorer 5 Door,"₹ 1,225,000.000000000000000",2596,4,63,Diesel,2055,3992,1790,SUV,5,Manual,85,230
Mahindra,Scorpio,4Wd Getaway,"₹ 1,236,258.000000000000000",2179,4,80,Diesel,1874,5118,1850,SUV,5,Manual,121,280
Mahindra,Scorpio,2Wd Getaway,"₹ 1,123,158.000000000000000",2179,4,80,Diesel,1874,5118,1850,SUV,5,Manual,121,280
Skoda,Monte Carlo,Monte Carlo 1.5 Tdi Mt,"₹ 1,299,599.000000000000000",1498,4,55,Diesel,1466,4413,1699,Sedan,5,Manual,110,250
Skoda,Monte Carlo,Monte Carlo 1.6 Mpi Mt,"₹ 1,139,599.000000000000000",1598,4,55,Petrol,1466,4413,1699,Sedan,5,Manual,105,153
Skoda,Monte Carlo,Monte Carlo 1.6 Mpi At,"₹ 1,269,599.000000000000000",1598,4,55,Petrol,1466,4413,1699,Sedan,5,Automatic,105,153
Toyota,Corolla Altis,Gl Diesel,"₹ 1,936,000.000000000000000",1364,4,43,Diesel,1475,4620,1775,Sedan,5,Manual,88.4,205
